season,team,conference,offense,defense
2026,Air Force,Mountain West,"{'plays': 79, 'drives': 9, 'ppa': 0.39889458010897205, 'totalPPA': 31.512671828608795, 'successRate': 0.5443037974683544, 'explosiveness': 0.9961783497840123, 'powerSuccess': 1, 'stuffRate': 0.04225352112676056, 'lineYards': 4.357746478873239, 'lineYardsTotal': 309, 'secondLevelYards': 1.5352112676056338, 'secondLevelYardsTotal': 109, 'openFieldYards': 0.676056338028169, 'openFieldYardsTotal': 48, 'totalOpportunies': 7, 'pointsPerOpportunity': 4.857142857142857, 'fieldPosition': {'averageStart': 73, 'averagePredictedPoints': 1.087}, 'havoc': {'total': 0.038, 'frontSeven': 0.013, 'db': 0.025}, 'standardDowns': {'rate': 0.8227848101265823, 'ppa': 0.4122282703939418, 'successRate': 0.5846153846153846, 'explosiveness': 0.982374462126526}, 'passingDowns': {'rate': 0.17721518987341772, 'ppa': 0.3369881609287557, 'successRate': 0.35714285714285715, 'explosiveness': 1.1010878959809076}, 'rushingPlays': {'rate': 0.8987341772151899, 'ppa': 0.5063322160735828, 'totalPPA': 35.94958734122438, 'successRate': 0.5915492957746479, 'explosiveness': 1.0092549532826978}, 'passingPlays': {'rate': 0.08860759493670886, 'ppa': -0.5075098810097615, 'totalPPA': -3.552569167068331, 'successRate': 0.14285714285714285, 'explosiveness': 0.4469610028392202}}","{'plays': 45, 'drives': 9, 'ppa': -0.33906363990619187, 'totalPPA': -15.257863795778636, 'successRate': 0.2222222222222222, 'explosiveness': 1.1005872277594584, 'powerSuccess': 1, 'stuffRate': 0.25, 'lineYards': 2.47, 'lineYardsTotal': 49, 'secondLevelYards': 0.7, 'secondLevelYardsTotal': 14, 'openFieldYards': 0.15, 'openFieldYardsTotal': 0, 'totalOpportunies': 0, 'pointsPerOpportunity': 0, 'fieldPosition': {'averageStart': 75.3, 'averagePredictedPoints': -0.93}, 'havoc': {'total': 0.178, 'frontSeven': 0.044, 'db': 0.133}, 'standardDowns': {'rate': 0.6666666666666666, 'ppa': -0.35004174763731116, 'successRate': 0.26666666666666666, 'explosiveness': 0.8297659103519205}, 'passingDowns': {'rate': 0.3333333333333333, 'ppa': -0.3171074244439534, 'totalPPA': -8.176371881860781, 'successRate': 0.13333333333333333, 'explosiveness': 2.18387249738961}, 'rushingPlays': {'rate': 0.4444444444444444, 'ppa': -0.1528518736141988, 'totalPPA': -3.0570374722839757, 'successRate': 0.25, 'explosiveness': 0.9396014514269556}, 'passingPlays': {'rate': 0.4888888888888889, 'ppa': -0.3716532673573083, 'totalPPA': -8.176371881860781, 'successRate': 0.22727272727272727, 'explosiveness': 1.261573004091961}}"
2026,Akron,Mid-American,"{'plays': 70, 'drives': 11, 'ppa': -0.02740230098845742, 'totalPPA': -1.9181610691920195, 'successRate': 0.5, 'explosiveness': 0.7212615614875549, 'powerSuccess': 0.6, 'stuffRate': 0.18181818181818182, 'lineYards': 3.103030303030303, 'lineYardsTotal': 102, 'secondLevelYards': 1.1515151515151516, 'secondLevelYardsTotal': 38, 'openFieldYards': 0.8181818181818182, 'openFieldYardsTotal': 27, 'totalOpportunies': 3, 'pointsPerOpportunity': 5.666666666666667, 'fieldPosition': {'averageStart': 77.3, 'averagePredictedPoints': 0.804}, 'havoc': {'total': 0.143, 'frontSeven': 0.114, 'db': 0.029}, 'standardDowns': {'rate': 0.7714285714285715, 'ppa': -0.12109866296770375, 'successRate': 0.5370370370370371, 'explosiveness': 0.6762538782434034}, 'passingDowns': {'rate': 0.22857142857142856, 'ppa': 0.2888229206914989, 'successRate': 0.375, 'explosiveness': 0.9387986971676205}, 'rushingPlays': {'rate': 0.4714285714285714, 'ppa': -0.012183932912401642, 'totalPPA': -0.40206978610925415, 'successRate': 0.5454545454545454, 'explosiveness': 0.7448574873448729}, 'passingPlays': {'rate': 0.5, 'ppa': 0.051888130454863256, 'totalPPA': 1.816084565920214, 'successRate': 0.4857142857142857, 'explosiveness': 0.6962776399915712}}","{'plays': 68, 'drives': 11, 'ppa': 0.47758894733523144, 'totalPPA': 32.476048418795735, 'successRate': 0.4264705882352941, 'explosiveness': 1.5275719114401596, 'powerSuccess': 0.8, 'stuffRate': 0.15625, 'lineYards': 3.265625, 'lineYardsTotal': 105, 'secondLevelYards': 1.15625, 'secondLevelYardsTotal': 37, 'openFieldYards': 2.09375, 'openFieldYardsTotal': 0, 'totalOpportunies': 7, 'pointsPerOpportunity': 4.285714285714286, 'fieldPosition': {'averageStart': 70.5, 'averagePredictedPoints': -1.385}, 'havoc': {'total': 0.132, 'frontSeven': 0.074, 'db': 0.059}, 'standardDowns': {'rate': 0.6176470588235294, 'ppa': 0.4019333780328736, 'successRate': 0.47619047619047616, 'explosiveness': 1.327649602697261}, 'passingDowns': {'rate': 0.38235294117647056, 'ppa': 0.5998017900544248, 'totalPPA': 22.46483724694252, 'successRate': 0.34615384615384615, 'explosiveness': 1.9718437086466003}, 'rushingPlays': {'rate': 0.47058823529411764, 'ppa': 0.30647462535732695, 'totalPPA': 9.807188011434462, 'successRate': 0.5, 'explosiveness': 0.9018223547590158}, 'passingPlays': {'rate': 0.5147058823529411, 'ppa': 0.6418524927697862, 'totalPPA': 22.46483724694252, 'successRate': 0.34285714285714286, 'explosiveness': 2.472200382933468}}"
2026,Alabama,SEC,"{'plays': 80, 'drives': 11, 'ppa': 0.2401798962265042, 'totalPPA': 19.214391698120338, 'successRate': 0.525, 'explosiveness': 1.1065101966937536, 'powerSuccess': 0.8333333333333334, 'stuffRate': 0.16666666666666666, 'lineYards': 3.25, 'lineYardsTotal': 156, 'secondLevelYards': 1.2083333333333333, 'secondLevelYardsTotal': 58, 'openFieldYards': 0.6666666666666666, 'openFieldYardsTotal': 32, 'totalOpportunies': 7, 'pointsPerOpportunity': 5.857142857142857, 'fieldPosition': {'averageStart': 71.6, 'averagePredictedPoints': 1.251}, 'havoc': {'total': 0.1, 'frontSeven': 0.075, 'db': 0.025}, 'standardDowns': {'rate': 0.7125, 'ppa': 0.1053619727228849, 'successRate': 0.543859649122807, 'explosiveness': 0.840982798818786}, 'passingDowns': {'rate': 0.2875, 'ppa': 0.5742938805615608, 'successRate': 0.4782608695652174, 'explosiveness': 1.8548146816141171}, 'rushingPlays': {'rate': 0.6, 'ppa': 0.25645703102275985, 'totalPPA': 12.309937489092473, 'successRate': 0.625, 'explosiveness': 0.9421918958698788}, 'passingPlays': {'rate': 0.4, 'ppa': 0.21576419403212077, 'totalPPA': 6.904454209027865, 'successRate': 0.375, 'explosiveness': 1.5173059487534406}}","{'plays': 41, 'drives': 12, 'ppa': -0.19854331617785437, 'totalPPA': -8.14027596329203, 'successRate': 0.21951219512195122, 'explosiveness': 1.548265437530798, 'powerSuccess': 0, 'stuffRate': 0.3684210526315789, 'lineYards': 0.13157894736842105, 'lineYardsTotal': 3, 'secondLevelYards': 0.3684210526315789, 'secondLevelYardsTotal': 7, 'openFieldYards': 0, 'openFieldYardsTotal': 0, 'totalOpportunies': 2, 'pointsPerOpportunity': 5, 'fieldPosition': {'averageStart': 72.3, 'averagePredictedPoints': -1.133}, 'havoc': {'total': 0.195, 'frontSeven': 0.122, 'db': 0.073}, 'standardDowns': {'rate': 0.6097560975609756, 'ppa': -0.19277396782996778, 'successRate': 0.2, 'explosiveness': 1.289743510017113}, 'passingDowns': {'rate': 0.3902439024390244, 'ppa': -0.2075579229714272, 'totalPPA': -0.9094183290781254, 'successRate': 0.25, 'explosiveness': 1.8714178469229044}, 'rushingPlays': {'rate': 0.4634146341463415, 'ppa': -0.3805714544323107, 'totalPPA': -7.230857634213904, 'successRate': 0.15789473684210525, 'explosiveness': 0.3502995301529825}, 'passingPlays': {'rate': 0.5365853658536586, 'ppa': -0.04133719677627842, 'totalPPA': -0.9094183290781254, 'successRate': 0.2727272727272727, 'explosiveness': 2.147248391219706}}"
2026,App State,Sun Belt,"{'plays': 74, 'drives': 10, 'ppa': 0.607856950791685, 'totalPPA': 44.98141435858469, 'successRate': 0.6486486486486487, 'explosiveness': 1.2037359766532603, 'powerSuccess': 1, 'stuffRate': 0.10256410256410256, 'lineYards': 3.5871794871794873, 'lineYardsTotal': 140, 'secondLevelYards': 1.794871794871795, 'secondLevelYardsTotal': 70, 'openFieldYards': 2.8461538461538463, 'openFieldYardsTotal': 111, 'totalOpportunies': 10, 'pointsPerOpportunity': 5.5, 'fieldPosition': {'averageStart': 68.7, 'averagePredictedPoints': 1.49}, 'havoc': {'total': 0.095, 'frontSeven': 0.081, 'db': 0.014}, 'standardDowns': {'rate': 0.7972972972972973, 'ppa': 0.49232263863383036, 'successRate': 0.6440677966101694, 'explosiveness': 1.051573703580967}, 'passingDowns': {'rate': 0.20270270270270271, 'ppa': 1.062291911945913, 'successRate': 0.6666666666666666, 'explosiveness': 1.7819526143279754}, 'rushingPlays': {'rate': 0.527027027027027, 'ppa': 0.516283652660888, 'totalPPA': 20.135062453774633, 'successRate': 0.5897435897435898, 'explosiveness': 1.1559120692847369}, 'passingPlays': {'rate': 0.44594594594594594, 'ppa': 0.7392625024999993, 'totalPPA': 24.395662582499973, 'successRate': 0.7272727272727273, 'explosiveness': 1.2120757431259943}}","{'plays': 61, 'drives': 11, 'ppa': -0.15966021726368834, 'totalPPA': -9.739273253084988, 'successRate': 0.3114754098360656, 'explosiveness': 1.2470294348667017, 'powerSuccess': 0, 'stuffRate': 0.3076923076923077, 'lineYards': 1.6961538461538461, 'lineYardsTotal': 44, 'secondLevelYards': 0.5, 'secondLevelYardsTotal': 13, 'openFieldYards': 0.34615384615384615, 'openFieldYardsTotal': 0, 'totalOpportunies': 4, 'pointsPerOpportunity': 0.75, 'fieldPosition': {'averageStart': 76.2, 'averagePredictedPoints': -0.852}, 'havoc': {'total': 0.213, 'frontSeven': 0.131, 'db': 0.082}, 'standardDowns': {'rate': 0.6885245901639344, 'ppa': -0.07361421075171337, 'successRate': 0.35714285714285715, 'explosiveness': 0.9717882681161444}, 'passingDowns': {'rate': 0.3114754098360656, 'ppa': -0.34986717902700143, 'totalPPA': 2.377351532307202, 'successRate': 0.21052631578947367, 'explosiveness': 2.279183810181291}, 'rushingPlays': {'rate': 0.4262295081967213, 'ppa': -0.3680344499424583, 'totalPPA': -9.568895698503917, 'successRate': 0.2692307692307692, 'explosiveness': 0.4693352896063786}, 'passingPlays': {'rate': 0.5409836065573771, 'ppa': 0.07204095552446066, 'totalPPA': 2.377351532307202, 'successRate': 0.36363636363636365, 'explosiveness': 1.7006843529352234}}"
2026,Arizona,Big 12,"{'plays': 74, 'drives': 13, 'ppa': 0.16129640335424053, 'totalPPA': 11.9359338482138, 'successRate': 0.6081081081081081, 'explosiveness': 0.8430082118391723, 'powerSuccess': 1, 'stuffRate': 0.030303030303030304, 'lineYards': 4.409090909090909, 'lineYardsTotal': 146, 'secondLevelYards': 2.0606060606060606, 'secondLevelYardsTotal': 68, 'openFieldYards': 1.7878787878787878, 'openFieldYardsTotal': 59, 'totalOpportunies': 7, 'pointsPerOpportunity': 5, 'fieldPosition': {'averageStart': 64.9, 'averagePredictedPoints': 1.789}, 'havoc': {'total': 0.068, 'frontSeven': 0.054, 'db': 0.014}, 'standardDowns': {'rate': 0.7702702702702703, 'ppa': 0.094960223850003, 'successRate': 0.6666666666666666, 'explosiveness': 0.6164799989330308}, 'passingDowns': {'rate': 0.22972972972972974, 'ppa': 0.38371771110374286, 'successRate': 0.4117647058823529, 'explosiveness': 2.0727327961867967}, 'rushingPlays': {'rate': 0.44594594594594594, 'ppa': 0.17558204084113882, 'totalPPA': 5.794207347757581, 'successRate': 0.696969696969697, 'explosiveness': 0.42389465649731634}, 'passingPlays': {'rate': 0.5135135135135135, 'ppa': 0.23287935721216324, 'totalPPA': 8.849415574062203, 'successRate': 0.5526315789473685, 'explosiveness': 1.2348229284620726}}","{'plays': 53, 'drives': 11, 'ppa': -0.428629771025105, 'totalPPA': -22.717377864330565, 'successRate': 0.16981132075471697, 'explosiveness': 1.7768342308359768, 'powerSuccess': None, 'stuffRate': 0.4375, 'lineYards': 1.33125, 'lineYardsTotal': 21, 'secondLevelYards': 0.3125, 'secondLevelYardsTotal': 5, 'openFieldYards': 0, 'openFieldYardsTotal': 0, 'totalOpportunies': 3, 'pointsPerOpportunity': 0, 'fieldPosition': {'averageStart': 74.8, 'averagePredictedPoints': -1.06}, 'havoc': {'total': 0.34, 'frontSeven': 0.226, 'db': 0.113}, 'standardDowns': {'rate': 0.49056603773584906, 'ppa': -1.0379902804823562, 'successRate': 0.11538461538461539, 'explosiveness': 1.1834354524783712}, 'passingDowns': {'rate': 0.5094339622641509, 'ppa': 0.1581618306744701, 'totalPPA': -8.673129595040717, 'successRate': 0.2222222222222222, 'explosiveness': 2.07353362001478}, 'rushingPlays': {'rate': 0.3018867924528302, 'ppa': -0.4657697324130241, 'totalPPA': -7.452315718608386, 'successRate': 0.0625, 'explosiveness': 0.4360999685176684}, 'passingPlays': {'rate': 0.660377358490566, 'ppa': -0.24780370271544905, 'totalPPA': -8.673129595040717, 'successRate': 0.22857142857142856, 'explosiveness': 1.9444260136257654}}"
2026,Arizona State,Big 12,"{'plays': 71, 'drives': 12, 'ppa': 0.6536481044994057, 'totalPPA': 46.4090154194578, 'successRate': 0.5774647887323944, 'explosiveness': 1.6060940675308157, 'powerSuccess': 1, 'stuffRate': 0.14285714285714285, 'lineYards': 3.145714285714286, 'lineYardsTotal': 110, 'secondLevelYards': 1.5714285714285714, 'secondLevelYardsTotal': 55, 'openFieldYards': 2.8285714285714287, 'openFieldYardsTotal': 99, 'totalOpportunies': 9, 'pointsPerOpportunity': 5.444444444444445, 'fieldPosition': {'averageStart': 64, 'averagePredictedPoints': 1.873}, 'havoc': {'total': 0.113, 'frontSeven': 0.07, 'db': 0.042}, 'standardDowns': {'rate': 0.704225352112676, 'ppa': 0.6560311170117541, 'successRate': 0.62, 'explosiveness': 1.440854295412477}, 'passingDowns': {'rate': 0.29577464788732394, 'ppa': 0.6479742651842902, 'successRate': 0.47619047619047616, 'explosiveness': 2.118337361097666}, 'rushingPlays': {'rate': 0.49295774647887325, 'ppa': 0.4349373730725675, 'totalPPA': 15.222808057539863, 'successRate': 0.5428571428571428, 'explosiveness': 1.314825844870588}, 'passingPlays': {'rate': 0.5070422535211268, 'ppa': 0.8662835378310538, 'totalPPA': 31.18620736191794, 'successRate': 0.6111111111111112, 'explosiveness': 1.8576438961919215}}","{'plays': 52, 'drives': 12, 'ppa': -0.11511361950725567, 'totalPPA': -5.985908214377295, 'successRate': 0.3076923076923077, 'explosiveness': 0.9935711179315883, 'powerSuccess': 0.6666666666666666, 'stuffRate': 0.08695652173913043, 'lineYards': 3.0217391304347827, 'lineYardsTotal': 70, 'secondLevelYards': 0.8260869565217391, 'secondLevelYardsTotal': 19, 'openFieldYards': 1.3043478260869565, 'openFieldYardsTotal': 0, 'totalOpportunies': 3, 'pointsPerOpportunity': 2.3333333333333335, 'fieldPosition': {'averageStart': 71.7, 'averagePredictedPoints': -1.263}, 'havoc': {'total': 0.115, 'frontSeven': 0.038, 'db': 0.077}, 'standardDowns': {'rate': 0.6923076923076923, 'ppa': -0.1478043234675914, 'successRate': 0.3888888888888889, 'explosiveness': 0.9845718974718439}, 'passingDowns': {'rate': 0.3076923076923077, 'ppa': -0.041559535596500295, 'totalPPA': -2.714505070452134, 'successRate': 0.125, 'explosiveness': 1.0565656611497989}, 'rushingPlays': {'rate': 0.4423076923076923, 'ppa': -0.023907567106661982, 'totalPPA': -0.5498740434532257, 'successRate': 0.43478260869565216, 'explosiveness': 1.032512109128444}, 'passingPlays': {'rate': 0.5, 'ppa': -0.10440404117123592, 'totalPPA': -2.714505070452134, 'successRate': 0.23076923076923078, 'explosiveness': 0.928669465936829}}"
2026,Arkansas,SEC,"{'plays': 84, 'drives': 13, 'ppa': 0.09167774607079805, 'totalPPA': 7.700930669947036, 'successRate': 0.5238095238095238, 'explosiveness': 0.851926423740633, 'powerSuccess': 0.7777777777777778, 'stuffRate': 0.21739130434782608, 'lineYards': 2.5804347826086955, 'lineYardsTotal': 119, 'secondLevelYards': 0.6956521739130435, 'secondLevelYardsTotal': 32, 'openFieldYards': 0.13043478260869565, 'openFieldYardsTotal': 6, 'totalOpportunies': 7, 'pointsPerOpportunity': 4.428571428571429, 'fieldPosition': {'averageStart': 68.6, 'averagePredictedPoints': 1.442}, 'havoc': {'total': 0.119, 'frontSeven': 0.083, 'db': 0.036}, 'standardDowns': {'rate': 0.7023809523809523, 'ppa': -0.06279249009593271, 'successRate': 0.559322033898305, 'explosiveness': 0.5272992780977503}, 'passingDowns': {'rate': 0.2976190476190476, 'ppa': 0.45622750342428264, 'successRate': 0.44, 'explosiveness': 1.825807860669281}, 'rushingPlays': {'rate': 0.5476190476190477, 'ppa': -0.1553738125375569, 'totalPPA': -7.147195376727616, 'successRate': 0.43478260869565216, 'explosiveness': 0.28045620980184044}, 'passingPlays': {'rate': 0.42857142857142855, 'ppa': 0.4874594115787019, 'totalPPA': 17.548538816833265, 'successRate': 0.6388888888888888, 'explosiveness': 1.3335932863727806}}","{'plays': 45, 'drives': 13, 'ppa': -0.07461714556735355, 'totalPPA': -3.35777155053091, 'successRate': 0.26666666666666666, 'explosiveness': 1.0536179785110653, 'powerSuccess': None, 'stuffRate': 0.2631578947368421, 'lineYards': 1.8473684210526315, 'lineYardsTotal': 35, 'secondLevelYards': 0.8421052631578947, 'secondLevelYardsTotal': 16, 'openFieldYards': 0.15789473684210525, 'openFieldYardsTotal': 0, 'totalOpportunies': 4, 'pointsPerOpportunity': 3.5, 'fieldPosition': {'averageStart': 68.7, 'averagePredictedPoints': -1.443}, 'havoc': {'total': 0.222, 'frontSeven': 0.133, 'db': 0.089}, 'standardDowns': {'rate': 0.6, 'ppa': -0.10333460632205878, 'successRate': 0.4074074074074074, 'explosiveness': 0.7664921201509258}, 'passingDowns': {'rate': 0.4, 'ppa': -0.031540954435295705, 'totalPPA': -1.696087118728492, 'successRate': 0.05555555555555555, 'explosiveness': 4.212002420472599}, 'rushingPlays': {'rate': 0.4222222222222222, 'ppa': -0.049773781927934, 'totalPPA': -0.9457018566307459, 'successRate': 0.2631578947368421, 'explosiveness': 1.0529002013877111}, 'passingPlays': {'rate': 0.5333333333333333, 'ppa': -0.07067029661368718, 'totalPPA': -1.696087118728492, 'successRate': 0.25, 'explosiveness': 1.2155679932583647}}"
2026,Arkansas State,Sun Belt,"{'plays': 60, 'drives': 12, 'ppa': 0.09122889892267824, 'totalPPA': 5.473733935360695, 'successRate': 0.5, 'explosiveness': 1.25818527156254, 'powerSuccess': 0.8333333333333334, 'stuffRate': 0.11538461538461539, 'lineYards': 3.2192307692307693, 'lineYardsTotal': 84, 'secondLevelYards': 1.2692307692307692, 'secondLevelYardsTotal': 33, 'openFieldYards': 0.9615384615384616, 'openFieldYardsTotal': 25, 'totalOpportunies': 7, 'pointsPerOpportunity': 2.4285714285714284, 'fieldPosition': {'averageStart': 68.8, 'averagePredictedPoints': 1.429}, 'havoc': {'total': 0.167, 'frontSeven': 0.083, 'db': 0.083}, 'standardDowns': {'rate': 0.7333333333333333, 'ppa': 0.3241143611597589, 'successRate': 0.5909090909090909, 'explosiveness': 1.219350496822385}, 'passingDowns': {'rate': 0.26666666666666666, 'ppa': -0.5492061222292937, 'successRate': 0.25, 'explosiveness': 1.5106113073735468}, 'rushingPlays': {'rate': 0.43333333333333335, 'ppa': 0.20898975839630018, 'totalPPA': 5.433733718303805, 'successRate': 0.5384615384615384, 'explosiveness': 0.793789330496586}, 'passingPlays': {'rate': 0.5333333333333333, 'ppa': 0.1724444144622322, 'totalPPA': 5.51822126279143, 'successRate': 0.5, 'explosiveness': 1.6645317199952496}}","{'plays': 65, 'drives': 12, 'ppa': 0.4325343128713606, 'totalPPA': 28.11473033663844, 'successRate': 0.49230769230769234, 'explosiveness': 1.4906452469735614, 'powerSuccess': 0.6, 'stuffRate': 0.1276595744680851, 'lineYards': 3.546808510638298, 'lineYardsTotal': 167, 'secondLevelYards': 1.4042553191489362, 'secondLevelYardsTotal': 66, 'openFieldYards': 2.7872340425531914, 'openFieldYardsTotal': 0, 'totalOpportunies': 6, 'pointsPerOpportunity': 5.833333333333333, 'fieldPosition': {'averageStart': 77.6, 'averagePredictedPoints': -0.866}, 'havoc': {'total': 0.092, 'frontSeven': 0.062, 'db': 0.031}, 'standardDowns': {'rate': 0.8, 'ppa': 0.3925982185701612, 'successRate': 0.5, 'explosiveness': 1.3010135422690035}, 'passingDowns': {'rate': 0.2, 'ppa': 0.5922786900761583, 'totalPPA': 14.398706227038716, 'successRate': 0.46153846153846156, 'explosiveness': 2.3123826340266462}, 'rushingPlays': {'rate': 0.7230769230769231, 'ppa': 0.37840577583396307, 'totalPPA': 17.785071464196264, 'successRate': 0.48936170212765956, 'explosiveness': 1.2455356874472387}, 'passingPlays': {'rate': 0.23076923076923078, 'ppa': 0.9599137484692477, 'totalPPA': 14.398706227038716, 'successRate': 0.5333333333333333, 'explosiveness': 2.369922008500973}}"
2026,Army,American Athletic,"{'plays': 72, 'drives': 12, 'ppa': 0.68581428710163, 'totalPPA': 49.37862867131736, 'successRate': 0.6527777777777778, 'explosiveness': 1.2871934570965313, 'powerSuccess': 0.8333333333333334, 'stuffRate': 0.05263157894736842, 'lineYards': 4.65438596491228, 'lineYardsTotal': 265, 'secondLevelYards': 2.0526315789473686, 'secondLevelYardsTotal': 117, 'openFieldYards': 3.982456140350877, 'openFieldYardsTotal': 227, 'totalOpportunies': 10, 'pointsPerOpportunity': 5.2, 'fieldPosition': {'averageStart': 64.6, 'averagePredictedPoints': 1.779}, 'havoc': {'total': 0, 'frontSeven': 0, 'db': 0}, 'standardDowns': {'rate': 0.8194444444444444, 'ppa': 0.6651967651794334, 'successRate': 0.7288135593220338, 'explosiveness': 1.1306409309428218}, 'passingDowns': {'rate': 0.18055555555555555, 'ppa': 0.7793861173639067, 'successRate': 0.3076923076923077, 'explosiveness': 2.9701331132489086}, 'rushingPlays': {'rate': 0.7916666666666666, 'ppa': 0.8466502068587076, 'totalPPA': 48.25906179094633, 'successRate': 0.7017543859649122, 'explosiveness': 1.3526897967119178}, 'passingPlays': {'rate': 0.18055555555555555, 'ppa': -0.02571825175856758, 'totalPPA': -0.3343372728613786, 'successRate': 0.46153846153846156, 'explosiveness': 0.681183317242104}}","{'plays': 54, 'drives': 11, 'ppa': -0.13524123380199463, 'totalPPA': -7.30302662530771, 'successRate': 0.3148148148148148, 'explosiveness': 0.8508825653985219, 'powerSuccess': 0.6666666666666666, 'stuffRate': 0.2413793103448276, 'lineYards': 2.317241379310345, 'lineYardsTotal': 67, 'secondLevelYards': 0.6896551724137931, 'secondLevelYardsTotal': 20, 'openFieldYards': 0.20689655172413793, 'openFieldYardsTotal': 0, 'totalOpportunies': 3, 'pointsPerOpportunity': 1, 'fieldPosition': {'averageStart': 75.7, 'averagePredictedPoints': -0.92}, 'havoc': {'total': 0.204, 'frontSeven': 0.13, 'db': 0.074}, 'standardDowns': {'rate': 0.6111111111111112, 'ppa': -0.11679250498453299, 'successRate': 0.3939393939393939, 'explosiveness': 0.7316517075689729}, 'passingDowns': {'rate': 0.3888888888888889, 'ppa': -0.16423209337229147, 'totalPPA': -4.878992538892561, 'successRate': 0.19047619047619047, 'explosiveness': 1.2383828533445564}, 'rushingPlays': {'rate': 0.5370370370370371, 'ppa': -0.08540625330900195, 'totalPPA': -2.4767813459610566, 'successRate': 0.3793103448275862, 'explosiveness': 0.8186661733039462}, 'passingPlays': {'rate': 0.4444444444444444, 'ppa': -0.20329135578719007, 'totalPPA': -4.878992538892561, 'successRate': 0.25, 'explosiveness': 0.9099459509052442}}"
2026,Auburn,SEC,"{'plays': 75, 'drives': 13, 'ppa': -0.043635825123135366, 'totalPPA': -3.2726868842351524, 'successRate': 0.38666666666666666, 'explosiveness': 1.1601768480225931, 'powerSuccess': 1, 'stuffRate': 0.22857142857142856, 'lineYards': 2.6742857142857144, 'lineYardsTotal': 94, 'secondLevelYards': 0.8857142857142857, 'secondLevelYardsTotal': 31, 'openFieldYards': 0.9714285714285714, 'openFieldYardsTotal': 34, 'totalOpportunies': 7, 'pointsPerOpportunity': 2.4285714285714284, 'fieldPosition': {'averageStart': 69.8, 'averagePredictedPoints': 1.478}, 'havoc': {'total': 0.24, 'frontSeven': 0.147, 'db': 0.093}, 'standardDowns': {'rate': 0.7066666666666667, 'ppa': -0.05498839683088968, 'successRate': 0.4339622641509434, 'explosiveness': 1.012242376112937}, 'passingDowns': {'rate': 0.29333333333333333, 'ppa': -0.016286447827181808, 'successRate': 0.2727272727272727, 'explosiveness': 1.7272589903429412}, 'rushingPlays': {'rate': 0.4666666666666667, 'ppa': -0.1384575864498446, 'totalPPA': -4.84601552574456, 'successRate': 0.34285714285714286, 'explosiveness': 0.8303175764442267}, 'passingPlays': {'rate': 0.52, 'ppa': 0.011978142282993674, 'totalPPA': 0.4671475490367533, 'successRate': 0.41025641025641024, 'explosiveness': 1.4109460364282391}}","{'plays': 101, 'drives': 13, 'ppa': -0.01107254511121855, 'totalPPA': -1.1183270562330734, 'successRate': 0.38613861386138615, 'explosiveness': 1.2316141474915536, 'powerSuccess': 0.4, 'stuffRate': 0.23255813953488372, 'lineYards': 2.097674418604651, 'lineYardsTotal': 90, 'secondLevelYards': 0.4418604651162791, 'secondLevelYardsTotal': 19, 'openFieldYards': 0, 'openFieldYardsTotal': 0, 'totalOpportunies': 7, 'pointsPerOpportunity': 2.4285714285714284, 'fieldPosition': {'averageStart': 76.3, 'averagePredictedPoints': -0.963}, 'havoc': {'total': 0.198, 'frontSeven': 0.099, 'db': 0.099}, 'standardDowns': {'rate': 0.7227722772277227, 'ppa': -0.21587801693755465, 'successRate': 0.3835616438356164, 'explosiveness': 0.866201757005735}, 'passingDowns': {'rate': 0.27722772277227725, 'ppa': 0.5228845778645863, 'totalPPA': 11.730305046331061, 'successRate': 0.39285714285714285, 'explosiveness': 2.1617547778190924}, 'rushingPlays': {'rate': 0.42574257425742573, 'ppa': -0.2870894363892516, 'totalPPA': -12.34484576473782, 'successRate': 0.3953488372093023, 'explosiveness': 0.5969408440523553}, 'passingPlays': {'rate': 0.5445544554455446, 'ppa': 0.21327827356965565, 'totalPPA': 11.730305046331061, 'successRate': 0.38181818181818183, 'explosiveness': 1.7989064408460083}}"
