Date,HomeTeam,HomeScore,AwayTeam,AwayScore,Status,Season
2026-04-25,Liberty,91,Fever,109,Final,2026
2026-04-25,Sparks,89,NIGERIA,63,Final,2026
2026-04-25,Mercury,108,Sky,104,Final,2026
2026-04-25,Mystics,66,Lynx,77,Final,2026
2026-04-25,Valkyries,78,Storm,76,Final,2026
2026-04-26,Aces,94,JAPAN,78,Final,2026
2026-04-27,Lynx,88,NIGERIA,79,Final,2026
2026-04-29,Tempo,78,Sun,83,Final,2026
2026-04-29,Sky,78,Dream,87,Final,2026
2026-04-29,Storm,91,Fire,81,Final,2026
2026-04-29,Mercury,86,JAPAN,60,Final,2026
2026-04-30,Fever,80,Wings,95,Final,2026
2026-05-01,Lynx,73,Tempo,66,Final,2026
2026-05-02,Fever,105,NIGERIA,57,Final,2026
2026-05-03,Dream,72,Mystics,83,Final,2026
2026-05-03,Sun,67,Liberty,79,Final,2026
2026-05-03,Wings,101,Aces,84,Final,2026
2026-05-03,Fire,75,Sparks,85,Final,2026
2026-05-08,Liberty,106,Sun,75,Final,2026
2026-05-08,Tempo,65,Mystics,68,Final,2026
2026-05-08,Storm,80,Valkyries,91,Final,2026
2026-05-09,Fever,104,Wings,107,Final,2026
2026-05-09,Aces,66,Mercury,99,Final,2026
2026-05-09,Lynx,90,Dream,91,Final,2026
2026-05-09,Fire,83,Sky,98,Final,2026
2026-05-10,Sun,82,Storm,89,Final,2026
2026-05-10,Mystics,93,Liberty,98,Final,2026
2026-05-10,Sparks,78,Aces,105,Final,2026
2026-05-10,Valkyries,95,Mercury,79,Final,2026
2026-05-12,Wings,72,Dream,77,Final,2026
2026-05-12,Mercury,84,Lynx,88,Final,2026
2026-05-12,Fire,98,Liberty,96,Final,2026
2026-05-13,Tempo,86,Storm,73,Final,2026
2026-05-13,Sun,69,Aces,98,Final,2026
2026-05-13,Valkyries,63,Sky,69,Final,2026
2026-05-13,Sparks,78,Fever,87,Final,2026
2026-05-14,Wings,86,Lynx,90,Final,2026
2026-05-14,Fire,82,Liberty,100,Final,2026
2026-05-15,Sun,94,Aces,101,Final,2026
2026-05-15,Fever,102,Mystics,104,Final,2026
2026-05-15,Sparks,99,Tempo,95,Final,2026
2026-05-15,Mercury,91,Sky,83,Final,2026
2026-05-17,Dream,84,Aces,85,Final,2026
2026-05-17,Fever,89,Storm,78,Final,2026
2026-05-17,Lynx,79,Sky,86,Final,2026
2026-05-17,Sparks,96,Tempo,106,Final,2026
2026-05-18,Wings,92,Mystics,69,Final,2026
2026-05-18,Fire,83,Sun,82,Final,2026
2026-05-19,Mercury,90,Tempo,98,Final,2026
2026-05-20,Fever,90,Fire,73,Final,2026
2026-05-20,Sky,89,Wings,99,Final,2026
2026-05-20,Storm,78,Sun,80,Final,2026
2026-05-21,Liberty,70,Valkyries,87,Final,2026
2026-05-21,Lynx,100,Tempo,72,Final,2026
2026-05-21,Mercury,88,Sparks,97,Final,2026
2026-05-22,Dream,86,Wings,69,Final,2026
2026-05-22,Fever,90,Valkyries,82,Final,2026
2026-05-22,Storm,77,Sun,59,Final,2026
2026-05-23,Sky,75,Lynx,85,Final,2026
2026-05-23,Tempo,80,Fire,99,Final,2026
2026-05-23,Aces,95,Sparks,101,Final,2026
2026-05-24,Dream,82,Mercury,80,Final,2026
2026-05-24,Liberty,76,Wings,91,Final,2026
2026-05-24,Storm,97,Mystics,85,Final,2026
2026-05-25,Liberty,74,Fire,81,Final,2026
2026-05-25,Valkyries,97,Sun,70,Final,2026
2026-05-29,Liberty,75,Mercury,68,Final,2026
2026-05-29,Mystics,87,Sparks,92,Final,2026
2026-05-29,Sky,58,Lynx,79,Final,2026
2026-05-29,Fire,66,Dream,86,Final,2026
2026-05-30,Tempo,93,Storm,72,Final,2026
2026-05-30,Sun,84,Sparks,81,Final,2026
2026-05-30,Fire,100,Fever,84,Final,2026
2026-05-31,Valkyries,81,Aces,91,Final,2026
2026-06-01,Wings,79,Storm,56,Final,2026
2026-06-01,Mercury,77,Lynx,111,Final,2026
2026-06-02,Dream,91,Sun,75,Final,2026
2026-06-02,Mystics,90,Sky,72,Final,2026
2026-06-02,Valkyries,95,Fire,77,Final,2026
2026-06-02,Sparks,69,Aces,79,Final,2026
2026-06-03,Liberty,97,Tempo,82,Final,2026
2026-06-03,Storm,68,Mercury,72,Final,2026
2026-06-04,Fever,83,Dream,71,Final,2026
2026-06-04,Lynx,87,Valkyries,84,Final,2026
2026-06-05,Sky,85,Sun,80,Final,2026
2026-06-05,Sparks,96,Wings,104,Final,2026
2026-06-05,Fire,72,Mercury,78,Final,2026
2026-06-06,Lynx,88,Storm,68,Final,2026
2026-06-06,Aces,84,Valkyries,79,Final,2026
2026-06-06,Dream,109,Mystics,77,Final,2026
2026-06-06,Liberty,83,Fever,75,Final,2026
2026-06-07,Tempo,85,Sky,68,Final,2026
2026-06-07,Sparks,89,Fire,72,Final,2026
2026-06-08,Sun,80,Liberty,89,Final,2026
2026-06-08,Mystics,76,Fever,78,Final,2026
2026-06-08,Aces,101,Storm,91,Final,2026
2026-06-09,Sky,75,Dream,82,Final,2026
2026-06-09,Lynx,100,Wings,76,Final,2026
2026-06-09,Valkyries,87,Mercury,81,Final,2026
2026-06-10,Tempo,106,Sun,102,Final,2026
2026-06-10,Storm,83,Sparks,88,Final,2026
2026-06-11,Fever,114,Sky,106,Final,2026
2026-06-11,Dream,90,Liberty,104,Final,2026
2026-06-11,Wings,85,Mercury,70,Final,2026
2026-06-11,Fire,89,Aces,105,Final,2026
2026-06-12,Mystics,86,Tempo,85,Final,2026
2026-06-12,Storm,72,Valkyries,76,Final,2026
2026-06-13,Sun,75,Fever,85,Final,2026
2026-06-13,Aces,100,Lynx,97,Final,2026
2026-06-13,Fire,84,Wings,83,Final,2026
2026-06-13,Mercury,102,Sparks,111,Final,2026
2026-06-14,Liberty,86,Mystics,64,Final,2026
2026-06-14,Tempo,77,Dream,102,Final,2026
2026-06-15,Wings,96,Aces,66,Final,2026
2026-06-15,Lynx,107,Fire,74,Final,2026
2026-06-15,Valkyries,78,Sparks,58,Final,2026
